class,alpha,transform,category,relative_error,cosine_similarity
apple,1.3,scale_0.8,scale,0.12145276232822907,0.9934364983798686
apple,1.3,scale_1.2,scale,0.11782626625883925,0.9933818198922096
apple,1.4,translation_x10,translation,0.0028198647493935048,0.9999966032942261
apple,1.4,translation_y10,translation,0.0012101404943603465,0.9999992678121945
apple,1.4,rotation_10,rotation,0.033400139127299534,0.9994444810290035
apple,1.4,rotation_20,rotation,0.06194008712555149,0.9980913961725133
apple,1.4,scale_0.8,scale,0.14894103419986623,0.9910979017884424
apple,1.4,scale_1.2,scale,0.13187100089159312,0.9925990807720707
apple,1.5,translation_x10,translation,0.002342978834566762,0.999997700820805
apple,1.5,translation_y10,translation,0.0010578887674966907,0.9999994406142538
apple,1.5,rotation_10,rotation,0.03187183787820047,0.9994932909288182
apple,1.5,rotation_20,rotation,0.057213707439514115,0.9983782304649755
apple,1.5,scale_0.8,scale,0.18277789141950218,0.988552794094856
apple,1.5,scale_1.2,scale,0.15862338121974737,0.9910763784095676
apple,1.6,translation_x10,translation,0.0020470385555341375,0.9999980051627123
apple,1.6,translation_y10,translation,0.0016677034864385535,0.9999986096742284
apple,1.6,rotation_10,rotation,0.031413536964150966,0.9995067905045363
apple,1.6,rotation_20,rotation,0.05549474093847021,0.9984747271401678
apple,1.6,scale_0.8,scale,0.22298319675064485,0.9849951910050395
apple,1.6,scale_1.2,scale,0.1927488754981064,0.9895107584322239
apple,1.7,translation_x10,translation,0.002361370452384616,0.9999973532650125
apple,1.7,translation_y10,translation,0.002882063172363883,0.9999958469622309
apple,1.7,rotation_10,rotation,0.03187608183409067,0.999491830778749
apple,1.7,rotation_20,rotation,0.05488684182899022,0.998504451420696
apple,1.7,scale_0.8,scale,0.26456683942009257,0.9792673365556118
apple,1.7,scale_1.2,scale,0.23087537467494906,0.9880340062311742
apple,1.8,translation_x10,translation,0.0038011070251161377,0.9999946514581928
apple,1.8,translation_y10,translation,0.004309397491388737,0.9999907180596348
apple,1.8,rotation_10,rotation,0.03275206330720899,0.9994635381718214
apple,1.8,rotation_20,rotation,0.054598512373058475,0.9985164502488831
apple,1.8,scale_0.8,scale,0.29895146875793416,0.9722623772457383
apple,1.8,scale_1.2,scale,0.27131760262804155,0.9860537015417511
apple,1.9,translation_x10,translation,0.006073351157357633,0.9999879466804372
